Cell types,Cluster annotations,Organ of origin
Oligodendrocyte Lineage cells_Mal high(Arc-Me),Oligodendrocyte,Brain
Ependymocytes(Arc-Me),Ependymocyte,Brain
Mural cells(Arc-Me),Mural_cell,Brain
Pars Tuberalis cells_Cyp2f2 high(Arc-Me),Pars_tuberalis_cell,Brain
Tanycyte_Scn7a high(Arc-Me),Tanycyte,Brain
Oligodendrocyte precursor cells(Arc-Me),Oligodendrocyte_precursor,Brain
POMC neurons(Arc-Me),Neuron,Brain
Kiss1/Tac2 neuron(Arc-Me),Neuron,Brain
Rgs16 neurons(Arc-Me),Neuron,Brain
Slc17a6/Rgs16 neurons(Arc-Me),Neuron,Brain
Ghrh/Th neurons(Arc-Me),Neuron,Brain
Pars Tuberalis cells_Cga high(Arc-Me),Pars_tuberalis_cell,Brain
SST neurons(Arc-Me),Neuron,Brain
Slc17a6/Bdnf neuron(Arc-Me),Neuron,Brain
PVMMicro(Arc-Me),Microglia,Brain
Astrocyte(Arc-Me),Astrocyte,Brain
Tanycyte_Crym high(Arc-Me),Tanycyte,Brain
Vascular and Leptomeningeal cells(Arc-Me),Vascular_Leptomeningeal,Brain
Oligodendrocyte Lineage cells_Enpp6 high(Arc-Me),Oligodendrocyte,Brain
AgRP neurons(Arc-Me),Neuron,Brain
Endothelial cells(Arc-Me),Endothelial_cell,Brain
Stromal cell_Dpt high(Bladder),Stromal_cell,Bladder
Epithelial cell_Gm23935 high(Bladder),Epithelial_cell,Bladder
Macrophage_Pf4 high(Bladder),Immune_cell,Bladder
Dendritic cell_Cd74 high(Bladder),Immune_cell,Bladder
Dendritic cell_Lyz2 high(Bladder),Immune_cell,Bladder
Endothelial cell_Ly6c1 high(Bladder),Endothelial_cell,Bladder
NK cell(Bladder),Immune_cell,Bladder
Vascular smooth muscle progenitor cell(Bladder),Smooth_muscle_progenitor,Bladder
Mesenchymal stromal cell(Bladder),Mesenchymal_stromal_cell,Bladder
Basal epithelial cell(Bladder),Epithelial_cell,Bladder
Urothelium(Bladder),Urothelial_cell,Bladder
Stromal cell_Car3 high(Bladder),Stromal_cell,Bladder
Epithelial cell_Upk3a high(Bladder),Epithelial_cell,Bladder
Smooth muscle cell(Bladder),Smooth_muscle_cell,Bladder
Vascular endothelial cell(Bladder),Endothelial_cell,Bladder
Umbrella cell(Bladder),Umbrella_cell,Bladder
Neutrophil_Cebpe high(Bone-Marrow),Immune_cell,Bone-Marrow
Neutrophil_Fcnb high(Bone-Marrow),Immune_cell,Bone-Marrow
B cell_Igkc high(Bone-Marrow),Immune_cell,Bone-Marrow
Macrophage_S100a4 high(Bone-Marrow),Immune_cell,Bone-Marrow
T cell_Ms4a4b high(Bone-Marrow),Immune_cell,Bone-Marrow
Dendritic cell_Siglech high(Bone-Marrow),Immune_cell,Bone-Marrow
Mast cell(Bone-Marrow),Mast_cell,Bone-Marrow
Dendritic cell_H2-Eb1 high(Bone-Marrow),Immune_cell,Bone-Marrow
Monocyte_Mif high(Bone-Marrow),Immune_cell,Bone-Marrow
Neutrophil_Mmp8 high(Bone-Marrow),Immune_cell,Bone-Marrow
Neutrophil progenitor(Bone-Marrow),Neutrophil_progenitor,Bone-Marrow
Monocyte_Prtn3 high(Bone-Marrow),Immune_cell,Bone-Marrow
Macrophage_Ms4a6c high(Bone-Marrow),Immune_cell,Bone-Marrow
Neutrophil_Ngp high(Bone-Marrow),Immune_cell,Bone-Marrow
Pre-pro B cell(Bone-Marrow),Pre_pro_B_cell,Bone-Marrow
Hematopoietic stem progenitor cell(Bone-Marrow),Hematopoetic_stem_progenitor_cell,Bone-Marrow
Erythroblast(Bone-Marrow),Erythroblast,Bone-Marrow
Neutrophil_Lcn2 high(Bone-Marrow_c-kit),Immune_cell,Bone-Marrow
Erythrocyte progenitor_Car1 high(Bone-Marrow_c-kit),Erythrocyte_progenitor,Bone-Marrow
Megakaryocyte progenitor cell(Bone-Marrow_c-kit),Megakaryocyte_progenitor,Bone-Marrow
Basophil(Bone-Marrow_c-kit),Immune_cell,Bone-Marrow
Pre-B cell(Bone-Marrow_c-kit),Pre_B_cell,Bone-Marrow
Neutrophil_Retnlg high(Bone-Marrow_c-kit),Immune_cell,Bone-Marrow
M1 macrophage_Cd74 high(Bone-Marrow_c-kit),Immune_cell,Bone-Marrow
Erythrocyte progenitor_Hba-a1 high(Bone-Marrow_c-kit),Erythrocyte_progenitor,Bone-Marrow
Bone marrow macrophage(Bone-Marrow_c-kit),Immune_cell,Bone-Marrow
Eosinophil progenitor cell(Bone-Marrow_c-kit),Eosinophil_progenitor,Bone-Marrow
M1 macrophage_S100a4 high(Bone-Marrow_c-kit),Immune_cell,Bone-Marrow
Neutrophil_Ighg1 high(Bone-Marrow_c-kit),Immune_cell,Bone-Marrow
Monocyte progenitor cell_Prtn3 high(Bone-Marrow_c-kit),Monocyte_progenitor,Bone-Marrow
Neutrophil_Ngp high(Bone-Marrow_c-kit),Immune_cell,Bone-Marrow
Monocyte progenitor(Bone-Marrow_c-kit),Monocyte_progenitor,Bone-Marrow
Neutrophil_Fcnb high(Bone-Marrow_c-kit),Immune_cell,Bone-Marrow
Monocyte progenitor cell_Ctsg high(Bone-Marrow_c-kit),Monocyte_progenitor,Bone-Marrow
Neutrophil_Ltf high(Bone-Marrow_c-kit),Immune_cell,Bone-Marrow
Multipotent progenitor_Ctla2a high(Bone-Marrow_c-kit),Multipotent_progenitor,Bone-Marrow
Proerythrocytes(Bone_Marrow_Mesenchyme),Proerythrocyte,Bone-Marrow
Stromal cell_Cnmd high(Bone_Marrow_Mesenchyme),Stromal_cell,Bone-Marrow
Endothelial cells_Ly6c1 high(Bone_Marrow_Mesenchyme),Endothelial_cell,Bone-Marrow
Eosinophils(Bone_Marrow_Mesenchyme),Immune_cell,Bone-Marrow
Endothelial cells(Bone_Marrow_Mesenchyme),Endothelial_cell,Bone-Marrow
MSC(Bone_Marrow_Mesenchyme),Mesenchymal_cell,Bone-Marrow
CXCL12-abundant reticular cell(Bone_Marrow_Mesenchyme),Reticular_cell,Bone-Marrow
Stromal cell_Col10a1_high(Bone_Marrow_Mesenchyme),Stromal_cell,Bone-Marrow
Myoblast(Bone_Marrow_Mesenchyme),Myoblast,Bone-Marrow
Megakaryocyte(Bone_Marrow_Mesenchyme),Megakaryocyte,Bone-Marrow
Granulocyte monocyte progenitors(Bone_Marrow_Mesenchyme),Monocyte_progenitor,Bone-Marrow
Stromal cell_Col1a2 high(Bone_Marrow_Mesenchyme),Stromal_cell,Bone-Marrow
Erythrocytes(Bone_Marrow_Mesenchyme),Erythrocyte,Bone-Marrow
Erythroblast(Bone_Marrow_Mesenchyme),Erythroblast,Bone-Marrow
Osteoblasts(Bone_Marrow_Mesenchyme),Osteoblast,Bone-Marrow
Neutrophil (Bone_Marrow_Mesenchyme),Immune_cell,Bone-Marrow
Pre-B cell(Bone_Marrow_Mesenchyme),Pre_B_cell,Bone-Marrow
Fibroblasts(Bone_Marrow_Mesenchyme),Fibroblast,Bone-Marrow
Basophils(Bone_Marrow_Mesenchyme),Immune_cell,Bone-Marrow
Myelinating oligodendrocyte(Brain),Oligodendrocyte,Brain
Pan-GABAergic(Brain),Neuron,Brain
Astrocyte_Pla2g7 high(Brain),Astrocyte,Brain
Schwann cell(Brain),Schwann_cell,Brain
Granulocyte_Hba-a1 high(Brain),Granulocyte,Brain
Hypothalamic ependymal cell(Brain),Ependymocyte,Brain
Granulocyte_Ngp high(Brain),Granulocyte,Brain
Microglia(Brain),Microglia,Brain
Astrocyte_Mfe8 high(Brain),Astrocyte,Brain
Macrophage_Klf2 high(Brain),Immune_cell,Brain
Astrocyte_Atp1b2 high(Brain),Astrocyte,Brain
Oligodendrocyte precursor cell(Brain),Oligodendrocyte_precursor,Brain
Neuron(Brain),Neuron,Brain
Macrophage_Lyz2 high(Brain),Immune_cell,Brain
Astroglial cell(Bergman glia)(Brain),Astroglial_cell,Brain
Macrophage/Microglia(E18-Brain),Microglia,Brain
Ependymal cells (E18-Brain),Ependymocyte,Brain
GABAergic neuron_Nrxn3 high(E18-Brain),Neuron,Brain
Cortical neurons (E18-Brain),Neuron,Brain
GABA-Interneurons(E18-Brain),Neuron,Brain
Erythrocyte(E18-Brain),Erythrocyte,Brain
Dopaminergic amacrine neuron(E18-Brain),Neuron,Brain
Immature neuron(E18-Brain),Neuron,Brain
Glutamatergic neurons (E18-Brain),Neuron,Brain
Hypothalamus neuron(E18-Brain),Neuron,Brain
Stromal cell(E18-Brain),Stromal_cell,Brain
Astrocytes_Aldoc high(E18-Brain),Astrocyte,Brain
Neuron_cellcytle high(E18-Brain),Neuron,Brain
Oligodendrocyte precursor cells(E18-Brain),Oligodendrocyte_precursor,Brain
Radial glia cell_Neurog2 high(E18-Brain),Radial_glia_cell,Brain
Radial glia cell_Gdf10 high(E18-Brain),Radial_glia_cell,Brain
Astrocytes_Ccnb1 high(E18-Brain),Astrocyte,Brain
Radial glia cell_Id3 high(E18-Brain),Radial_glia_cell,Brain
Neuron_Fam19a2 high (E18-Brain),Neuron,Brain
Endothelial cell(E18-Brain),Endothelial_cell,Brain
Cajal-Retzius neuron cells(E18-Brain),Neuron,Brain
GABAergic neuron_Lhx6 high(E18-Brain),Neuron,Brain
GABAergic neuron_Htra3 high(E18-Brain),Neuron,Brain
Stromal cell_Cxcl12 high(Embryonic-Mesenchyme),Stromal_cell,Embryonic-mesenchyme
Ganglion cell_Mapt high(Embryonic-Mesenchyme),Ganglion_cell,Embryonic-mesenchyme
Stromal Cell_fabp7 high(Embryonic-Mesenchyme),Stromal_cell,Embryonic-mesenchyme
Neuron_Isl1 high(Embryonic-Mesenchyme),Neuron,Embryonic-mesenchyme
Neuron_Npy high(Embryonic-Mesenchyme),Neuron,Embryonic-mesenchyme
Skeletal Muscle(Embryonic-Mesenchyme),Skeletal_muscle_cell,Embryonic-mesenchyme
Dendritic Cell(Embryonic-Mesenchyme),Immune_cell,Embryonic-mesenchyme
Ganglion cell_Cartpt high(Embryonic-Mesenchyme),Ganglion_cell,Embryonic-mesenchyme
Lymphoid progenitor cell(Embryonic-Mesenchyme),Lymphoid_progenitor_cell,Embryonic-mesenchyme
Stromal Cell Cldn11 high(Embryonic-Mesenchyme),Stromal_cell,Embryonic-mesenchyme
Neuronal Progenitors(Embryonic-Mesenchyme),Neuronal_progenitor,Embryonic-mesenchyme
Macrophage(Embryonic-Mesenchyme),Immune_cell,Embryonic-mesenchyme
Ganglion cell_Gal high(Embryonic-Mesenchyme),Ganglion_cell,Embryonic-mesenchyme
Erythroblast_Mt2 high(Embryonic-Mesenchyme),Erythroblast,Embryonic-mesenchyme
Reproductive tissues(Embryonic-Mesenchyme),Reproductive_cell,Embryonic-mesenchyme
Endothelial Cell(Embryonic-Mesenchyme),Endothelial_cell,Embryonic-mesenchyme
Neutrophil(Embryonic-Mesenchyme),Immune_cell,Embryonic-mesenchyme
Progenitor cell_Ptprcap high(Embryonic-Mesenchyme),Progenitor_cell,Embryonic-mesenchyme
Muscle(Embryonic-Mesenchyme),Muscle_cell,Embryonic-mesenchyme
Neuron_Igfbpl1 high(Embryonic-Mesenchyme),Neuron,Embryonic-mesenchyme
Stromal Cell_Agtr2 high(Embryonic-Mesenchyme),Stromal_cell,Embryonic-mesenchyme
Erythroid Cell(Embryonic-Mesenchyme),Erythroid_cell,Embryonic-mesenchyme
Stromal Cell_Cxcl14 high(Embryonic-Mesenchyme),Stromal_cell,Embryonic-mesenchyme
Erythroblast_Hbb-bs high(Embryonic-Mesenchyme),Erythroblast,Embryonic-mesenchyme
Stromal Cell_Cnmd high(Embryonic-Mesenchyme),Stromal_cell,Embryonic-mesenchyme
ES_Actb_high(Embryonic-Stem-Cell),Embryonic_stem_cell,Unknown
ES_Rps28_high(Embryonic-Stem-Cell),Embryonic_stem_cell,Unknown
ES_Nedd4_high(Embryonic-Stem-Cell),Embryonic_stem_cell,Unknown
ES_2C_like(Embryonic-Stem-Cell),Embryonic_stem_cell,Unknown
Primordial germ cell(Female_Fetal_Gonad),Primordial_germ_cell,Female-fetal-gonad
Neutrophil_S100a9 high(Female_Fetal_Gonad),Immune_cell,Female-fetal-gonad
Epithelial cell_S100a6 high(Female_Fetal_Gonad),Epithelial_cell,Female-fetal-gonad
Macrophage_Apoe high(Female_Fetal_Gonad),Immune_cell,Female-fetal-gonad
Myeloid progenitor(Female_Fetal_Gonad),Myeloid_progenitor,Female-fetal-gonad
Female fetal gonad cell_Kctd14 high(Female_Fetal_Gonad),Female_fetal_gonad_cell,Female-fetal-gonad
Pluripotent stem cell(Female_Fetal_Gonad),Pluripotent_stem_cell,Female-fetal-gonad
Erythroblast_Klf1 high(Female_Fetal_Gonad),Erythroblast,Female-fetal-gonad
Erythroblast_Hbb-bs high(Female_Fetal_Gonad),Erythroblast,Female-fetal-gonad
Stromal cell(Female_Fetal_Gonad),Stromal_cell,Female-fetal-gonad
Epithelial cell_Upk3b high(Female_Fetal_Gonad),Epithelial_cell,Female-fetal-gonad
Erythroblast(Female_Fetal_Gonad),Erythroblast,Female-fetal-gonad
Mast cell(Female_Fetal_Gonad),Mast_cell,Female-fetal-gonad
Schwann cell(Fetal_Brain),Schwann_cell,Fetal-brain
Hippocampus neurons_Asic4 high(Fetal_Brain),Neuron,Fetal-brain
Postmitotic neurons_Lhx9 high(Fetal_Brain),Neuron,Fetal-brain
Erythroblast_Hbb-bh1 high(Fetal_Brain),Erythroblast,Fetal-brain
Stromal cell(Fetal_Brain),Stromal_cell,Fetal-brain
Erythrocyte_Hbb-bt high(Fetal_Brain),Erythrocyte,Fetal-brain
Microglia(Fetal_Brain),Microglia,Fetal-brain
Purkinje cell(Fetal_Brain),Purkinje_cell,Fetal-brain
Ependymal cell(Fetal_Brain),Ependymocyte,Fetal-brain
Macrophage(Fetal_Brain),Immune_cell,Fetal-brain
Granule neurons(Fetal_Brain),Neuron,Fetal-brain
Pyramidal neuron cell(Fetal_Brain),Neuron,Fetal-brain
Radial glia_Fabp7 high(Fetal_Brain),Radial_glia_cell,Fetal-brain
Neural progenitor cell(Fetal_Brain),Neural_progenitor,Fetal-brain
Neuron_tuba1c high(Fetal_Brain),Neuron,Fetal-brain
Radial glia_Vim high(Fetal_Brain),Radial_glia_cell,Fetal-brain
Neuron_Kpna2 high(Fetal_Brain),Neuron,Fetal-brain
Dopaminergic neurons (Fetal_Brain),Neuron,Fetal-brain
Stromal cell_Adamdec1 high(Fetal_Intestine),Stromal_cell,Fetal-intestine
Erythroblast_Hbb-bs high(Fetal_Intestine),Erythroblast,Fetal-intestine
Stromal cell_Upk3b high(Fetal_Intestine),Stromal_cell,Fetal-intestine
Epithelial cell_Bex1 high(Fetal_Intestine),Epithelial_cell,Fetal-intestine
Enterocyte progenitor_late_Ccnb1 high(Fetal_Intestine),Enterocyte_progenitor,Fetal-intestine
Neuronal Cells_Rtn1 high(Fetal_Intestine),Neuron,Fetal-intestine
Erythroblast_Hbb-y high(Fetal_Intestine),Erythroblast,Fetal-intestine
T cell(Fetal_Intestine),Immune_cell,Fetal-intestine
Acinar cell(Fetal_Intestine),Acinar_cell,Fetal-intestine
Erythroblast_Car2 high(Fetal_Intestine),Erythroblast,Fetal-intestine
Endothelial cell(Fetal_Intestine),Endothelial_cell,Fetal-intestine
Enterocyte progenitor(Fetal_Intestine),Enterocyte_progenitor,Fetal-intestine
Enteroendocrine(Fetal_Intestine),Enteroendocrine_cell,Fetal-intestine
Enterocyte progenitor_late_Ube2c high(Fetal_Intestine),Enterocyte_progenitor,Fetal-intestine
Neuronal cell_Fabp7 high(Fetal_Intestine),Neuron,Fetal-intestine
Stromal cell_Stmn2 high (Fetal_Intestine),Stromal_cell,Fetal-intestine
Enteric muscle cell(Fetal_Intestine),Enteric_muscle_cell,Fetal-intestine
Epithelial cell_Lgals2 high(Fetal_Intestine),Epithelial_cell,Fetal-intestine
Macrophage_Lyz2 high(Fetal_Intestine),Immune_cell,Fetal-intestine
Macrophage_Pf4 high(Fetal_Intestine),Immune_cell,Fetal-intestine
Metanephric mesenchyme(Fetal_Kidney),Mesenchymal_cell,Fetal-kidney
Proximal renal tubule(Fetal_Kidney),Proximal_renal_tubule_cell,Fetal-kidney
Proximal tubule cell(Fetal_Kidney),Proximal_renal_tubule_cell,Fetal-kidney
Erythroblast(Fetal_Kidney),Erythroblast,Fetal-kidney
Macrophage_Apoe high(Fetal_Kidney),Immune_cell,Fetal-kidney
Stromal cell_Dlk1 high(Fetal_Kidney),Stromal_cell,Fetal-kidney
Myoblast(Fetal_Kidney),Myoblast,Fetal-kidney
Glomerular endothelial cell_Egfl7 high(Fetal_Kidney),Endothelial_cell,Fetal-kidney
Principal cells of cortical collecting duct(Fetal_Kidney),Cortical_collecting_duct_cell,Fetal-kidney
Macrophage_Lyz2 high(Fetal_Kidney),Immune_cell,Fetal-kidney
Glomerular podocytes cell(Fetal_Kidney),Glomerular_podocyte,Fetal-kidney
Adipocyte(Fetal_Kidney),Adipocyte,Fetal-kidney
Glomerular epithelial cell_Aldh1a2 high(Fetal_Kidney),Epithelial_cell,Fetal-kidney
Epithelial cell(Fetal_Kidney),Epithelial_cell,Fetal-kidney
Stromal cell_Mgp high(Fetal_Kidney),Stromal_cell,Fetal-kidney
Distal convoluted tubule epithelial cell(Fetal_Kidney),Epithelial_cell,Fetal-kidney
Cell in cell cycle(Fetal_Kidney),Cell_in_cell_cycle,Fetal-kidney
Glomerular endothelial cell(Fetal_Kidney),Endothelial_cell,Fetal-kidney
Stromal cell_Penk high(Fetal_Kidney),Stromal_cell,Fetal-kidney
Pro-Erythroblast(Fetal-liver),Pro_erythroblast,Fetal-liver
Pre-B cell(Fetal-liver),Pre_B_cell,Fetal-liver
Megakaryocyte(Fetal-liver),Megakaryocyte,Fetal-liver
Neutrophil_Elane high(Fetal-liver),Immune_cell,Fetal-liver
Stem and progenitor cell(Fetal-liver),Stem_cell,Fetal-liver
Dendritic cell(Fetal-liver),Immune_cell,Fetal-liver
Erythroblast_Hba-a2 high(Fetal-liver),Erythroblast,Fetal-liver
Macrophage(Fetal-liver),Immune_cell,Fetal-liver
Neutrophil_Ngp high(Fetal-liver),Immune_cell,Fetal-liver
Hepatocyte_Afp high(Fetal-liver),Hepatocyte,Fetal-liver
Mast cell_Mcpt8 high(Fetal-liver),Mast_cell,Fetal-liver
Stromal cell_Ankfy1 high(Fetal_Lung),Stromal_cell,Fetal-lung
Erythroblast_Mt2&Mt1 high(Fetal_Lung),Erythroblast,Fetal-lung
Macrophage_Pf4high(Fetal_Lung),Immune_cell,Fetal-lung
Early Neutrophil_Gm5483 high(Fetal_Lung),Immune_cell,Fetal-lung
Epithelial cell_Aldh1a2_high(Fetal_Lung),Epithelial_cell,Fetal-lung
Stromal cell_Ptn high(Fetal_Lung),Stromal_cell,Fetal-lung
Epithelial cell_Sftpc high(Fetal_Lung),Epithelial_cell,Fetal-lung
Smooth muscle cell(Fetal_Lung),Smooth_muscle_cell,Fetal-lung
Erythroblast_Hbb-bs high(Fetal_Lung),Erythroblast,Fetal-lung
Erythroblast_Mt2 high(Fetal_Lung),Erythroblast,Fetal-lung
Erythroblast_Hba-x high(Fetal_Lung),Erythroblast,Fetal-lung
Alveolar Macrophage(Fetal_Lung),Immune_cell,Fetal-lung
Early Neutrophil_S100a8 high(Fetal_Lung),Immune_cell,Fetal-lung
Stromal cell_Dcn high(Fetal_Stomache),Stromal_cell,Fetal-stomach
Stomach cell_Kazald1 high(Fetal_Stomache),Stomach_cell,Fetal-stomach
Macrophage(Fetal_Stomache),Immune_cell,Fetal-stomach
Acinar cell_Ctrb1 high(Fetal_Stomache),Acinar_cell,Fetal-stomach
Erythroblast_Car2 high(Fetal_Stomache),Erythroblast,Fetal-stomach
Endocrine cell(Fetal_Stomache),Endocrine_cell,Fetal-stomach
Smooth muscle(Fetal_Stomache),Smooth_muscle_cell,Fetal-stomach
Mast cell(Fetal_Stomache),Mast_cell,Fetal-stomach
Immunocyte_Lyz2 high(Fetal_Stomache),Immune_cell,Fetal-stomach
Neuron(Fetal_Stomache),Neuron,Fetal-stomach
Neutrophil(Fetal_Stomache),Immune_cell,Fetal-stomach
Erythroblast_Hbb-bs high(Fetal_Stomache),Erythroblast,Fetal-stomach
Endocrine progenitor cell(Fetal_Stomache),Endocrine_progenitor_cell,Fetal-stomach
Hepatocyte-Like Cell (Fetal_Stomache),Hepatocyte_like_cell,Fetal-stomach
Stromal cell_Cdkn1c high(Fetal_Stomache),Stromal_cell,Fetal-stomach
Epithelial cell(Fetal_Stomache),Epithelial_cell,Fetal-stomach
Erythroblast_Hba-x HIGH(Fetal_Stomache),Erythroblast,Fetal-stomach
Erythroblast_Klf1 high(Fetal_Stomache),Erythroblast,Fetal-stomach
Erythroblast_Snca high(Fetal_Stomache),Erythroblast,Fetal-stomach
Acinar cell_Spp1 high(Fetal_Stomache),Acinar_cell,Fetal-stomach
Progenitor cell(Fetal_Stomache),Progenitor_cell,Fetal-stomach
Proximal tubule brush border cell(Kidney),Proximal_renal_tubule_cell,Kidney
Macrophage_Ccl4 high (Kidney),Immune_cell,Kidney
Proximal tubule cell_Cyp4a14 high(Kidney),Proximal_renal_tubule_cell,Kidney
Fenestrated endothelial cell_Plvap high(Kidney),Endothelial_cell,Kidney
Distal collecting duct principal cell_Cldn4 high(Kidney),Distal_collecting_duct_principal_cell,Kidney
Distal collecting duct principal cell_Hsd11b2 high(Kidney),Distal_collecting_duct_principal_cell,Kidney
Fenestrated endothelial cell_Tm4sf1 high(Kidney),Endothelial_cell,Kidney
Stromal cell_Ptgds high(Kidney),Stromal_cell,Kidney
Endothelial cell(Kidney),Endothelial_cell,Kidney
Epithelial cell_Cryab high(Kidney),Epithelial_cell,Kidney
T cell(Kidney),Immune_cell,Kidney
Thick ascending limb of the loop of Henle(Kidney),Loop_of_Henle_cell,Kidney
Macrophage_Lyz2 high(Kidney),Immune_cell,Kidney
Stromal cell_Dcn high(Kidney),Stromal_cell,Kidney
Dendritic cell_Ccr7 high(Kidney),Immune_cell,Kidney
Ureteric epithelium(Kidney),Epithelial_cell,Kidney
Dendritic cell_Cst3 high(Kidney),Immune_cell,Kidney
Stromal cell_Cxcl10 high(Kidney),Stromal_cell,Kidney
Plasma cells(Kidney),Plasma_cell,Kidney
Stromal cell_Ankrd1 high(Kidney),Stromal_cell,Kidney
Stromal cell_Mgp high(Kidney),Stromal_cell,Kidney
Neutrophil progenitor_S100a8 high(Kidney),Neutrophil_progenitor,Kidney
Distal convoluted tubule_Pvalb high(Kidney),Distal_convoluted_tubule_cell,Kidney
Proximal tubule cell_Osgin1 high(Kidney),Proximal_renal_tubule_cell,Kidney
Intercalated cells of collecting duct_Aqp6 high(Kidney),Intercalated_cell,Kidney
S1 proximal tubule cells(Kidney),S1_proximal_tubule_cell,Kidney
Intercalated cells of collecting duct_Slc26a4 high(Kidney),Intercalated_cell,Kidney
S3 proximal tubule cells(Kidney),S3_proximal_tubule_cell,Kidney
Distal convoluted tubule_S100g high(Kidney),Distal_convoluted_tubule_cell,Kidney
Endothelial cell(Liver),Endothelial_cell,Liver
T cell_Gzma high(Liver),Immune_cell,Liver
Epithelia cell_Spp1 high(Liver),Epithelial_cell,Liver
B cell_Fcmr high(Liver),Immune_cell,Liver
Dendritic cell_Siglech high(Liver),Immune_cell,Liver
Erythroblast_Hbb-bt high(Liver),Erythroblast,Liver
B cell_Jchain high(Liver),Immune_cell,Liver
Periportal (PP) hepatocyte(Liver),Hepatocyte,Liver
Stromal cell(Liver),Stromal_cell,Liver
Hepatocyte_mt-Nd4 high(Liver),Hepatocyte,Liver
Epithelial cell(Liver),Epithelial_cell,Liver
Kuppfer cell(Liver),Immune_cell,Liver
Neutrophil_Ngp high(Liver),Immune_cell,Liver
Dendritic cell_Cst3 high(Liver),Immune_cell,Liver
Erythroblast_Hbb-bs high(Liver),Erythroblast,Liver
T cell_Trbc2 high(Liver),Immune_cell,Liver
Granulocyte(Liver),Granulocyte,Liver
Macrophage_Chil3 high(Liver),Immune_cell,Liver
Hepatocyte_Fabp1 high(Liver),Hepatocyte,Liver
Pericentral (PC) hepatocytes(Liver),Hepatocyte,Liver
AT2 Cell(Lung),Alveolar_type_2_cell,Lung
Stromal cell_Dcn high(Lung),Stromal_cell,Lung
Stromal cell_Inmt high(Lung),Stromal_cell,Lung
Club Cell(Lung),Club_cell,Lung
Conventional dendritic cell_Gngt2 high(Lung),Immune_cell,Lung
AT1 Cell(Lung),Alveolar_type_1_cell,Lung
Conventional dendritic cell_Mgl2 high(Lung),Immune_cell,Lung
Nuocyte(Lung),Nuocyte,Lung
Endothelial cell_Tmem100 high(Lung),Endothelial_cell,Lung
Ciliated cell(Lung),Ciliated_cell,Lung
Endothelial cell_Kdr high(Lung),Endothelial_cell,Lung
B Cell(Lung),Immune_cell,Lung
Endothelial cells_Vwf high(Lung),Endothelial_cell,Lung
Neutrophil granulocyte(Lung),Immune_cell,Lung
Dividing dendritic cells(Lung),Immune_cell,Lung
Stromal cell_Acta2 high(Lung),Stromal_cell,Lung
Dividing T cells(Lung),Immune_cell,Lung
Dividing cells(Lung),Dividing_cell,Lung
Alveolar macrophage_Pclaf high(Lung),Immune_cell,Lung
Alveolar bipotent progenitor(Lung),Alveolar_progenitor,Lung
Ig−producing B cell(Lung),Immune_cell,Lung
Conventional dendritic cell_H2-M2 high(Lung),Immune_cell,Lung
Alveolar macrophage_Ear2 high(Lung),Immune_cell,Lung
Basophil(Lung),Immune_cell,Lung
Monocyte progenitor cell(Lung),Monocyte_progenitor,Lung
Conventional dendritic cell_Tubb5 high(Lung),Immune_cell,Lung
T Cell_Cd8b1 high(Lung),Immune_cell,Lung
Plasmacytoid dendritic cell(Lung),Immune_cell,Lung
NK Cell(Lung),Immune_cell,Lung
Eosinophil granulocyte(Lung),Immune_cell,Lung
Interstitial macrophage(Lung),Immune_cell,Lung
Dendritic cell_Naaa high(Lung),Immune_cell,Lung
Cardiac Muscle Progenitor cell(Lung-Mesenchyme),Cardiac_muscle_progenitor,Lung-mesenchyme
Axin2+ Myofibrogenic Progenitor cell_Acta2 high(Lung-Mesenchyme),Myofibrogenic_progenitor,Lung-mesenchyme
Axin2+ Myofibrogenic Progenitor cell_Cox4i2 high(Lung-Mesenchyme),Myofibrogenic_progenitor,Lung-mesenchyme
Epithelial Cells(Lung-Mesenchyme),Epithelial_cell,Lung-mesenchyme
Mesenchymal Alveolar Niche Cell_Dcn high(Lung-Mesenchyme),Mesenchymal_cell,Lung-mesenchyme
Stromal cell_Inmt high(Lung-Mesenchyme),Stromal_cell,Lung-mesenchyme
Stromal cell_Aspn high(Lung-Mesenchyme),Stromal_cell,Lung-mesenchyme
Mesenchymal Alveolar Niche Cell_Mmp2 high(Lung-Mesenchyme),Mesenchymal_cell,Lung-mesenchyme
Sertoli cells_Cst9 high(Male_Fetal_Gonad),Sertoli_cell,Male-fetal-gonad
Erythrocyte_Car2 high(Male_Fetal_Gonad),Erythrocyte,Male-fetal-gonad
Epithelial cells (Male_Fetal_Gonad),Epithelial_cell,Male-fetal-gonad
Dendritic cells(Male_Fetal_Gonad),Immune_cell,Male-fetal-gonad
Smooth muscle cell_Mgp high(Male_Fetal_Gonad),Smooth_muscle_cell,Male-fetal-gonad
Basophils(Male_Fetal_Gonad),Immune_cell,Male-fetal-gonad
Neutrophil(Male_Fetal_Gonad),Immune_cell,Male-fetal-gonad
Premeiotic germ cells(Male_Fetal_Gonad),Premeiotic_germ_cell,Male-fetal-gonad
Stromal cell(Male_Fetal_Gonad),Stromal_cell,Male-fetal-gonad
Smooth muscle cell_Ptn high(Male_Fetal_Gonad),Smooth_muscle_cell,Male-fetal-gonad
Leydig cells(Male_Fetal_Gonad),Leydig_cells,Male-fetal-gonad
